name,accession_lat,accession_lng,terraclimate_lat,terraclimate_lng,spring_soil_moisture,fall_soil_moisture
AMES_23761,43.7,-79.4,43.6875,-79.3958,0.3292168,0.3569688
AMES_29118,40.71,-89.8,40.7292,-89.8125,0.5436923,0.5207115
AMES_29531,46.88,-100.78,46.8958,-100.7708,0.12412068,0.14473684
AMES_30933,-51.73,-72.49,-51.7292,-72.4792,0.07784899,0.22514619
AMES_30983,40.43,-89.17,40.4375,-89.1875,0.5399406,0.4661306
AMES_30984,44.19,-100.33,44.1875,-100.3125,0.13584492,0.085282646
AMES_30985,42.88,-97.38,42.8958,-97.3958,0.2557449,0.15789473
AMES_30998,40.58,-105.18,40.5625,-105.1875,0.024542755,0.015107212
AMES_30999,40.58,-105.18,40.5625,-105.1875,0.024542755,0.015107212
AMES_31001,40.53,-105.13,40.5208,-105.1458,0.018758792,0.012183234
AMES_31004,40.79,-104.72,40.7708,-104.7292,0.0035954358,0.00073099387
AMES_31007,40.78,-104.87,40.7708,-104.8542,0.0035954358,0.00073099387
AMES_31012,40.81,-104.34,40.8125,-104.3542,0.001094263,0.0
AMES_31013,40.73,-105.17,40.7292,-105.1875,0.011880567,0.0077972705
AMES_31014,40.23,-105.17,40.2292,-105.1875,0.032671563,0.020467835
AMES_31015,40.21,-105.22,40.2292,-105.2292,0.035172738,0.023391811
AMES_31019,39.52,-105.31,39.5208,-105.3125,0.09926528,0.03874269
AMES_31020,39.48,-105.37,39.4792,-105.3542,0.08801001,0.039473683
AMES 31021,39.43,-105.57,39.4375,-105.5625,0.09238705,0.044590637
AMES_31023,39.18,-106.33,39.1875,-106.3125,0.17351884,0.07456141
AMES_31024,38.74,-106.08,38.7292,-106.0625,0.0,0.0004873294
AMES_31025,38.4,-106.47,38.3958,-106.4792,0.1269345,0.045321636
AMES_31026,38.44,-106.58,38.4375,-106.5625,0.10567454,0.042884987
AMES_31487,42.06,-82.96,42.0625,-82.9792,0.28841645,0.33308965
AMES_31488,42.03,-82.62,42.0625,-82.6042,0.31686726,0.3053119
AMES_31490,52.73,-108.18,52.7292,-108.1875,0.16570267,0.116228074
AMES_31492,54.0,-108.83,53.9792,-108.8125,0.21838363,0.1878655
